"spkid","full_name","diameter","per","moid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per_y","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20002202,"  2202 Pele (1972 RA)",,1.27e+03,0.143,2202,Pele,,Y,N,0,16.98,,,,,,,,,,,,,,,,,,252,2461000.5,61000,2025-11-21.0,J2000,0.5129,2.291,1.116,8.74,169.90,217.97,109.59,3.47,0.2843,2460615.04,2024-10-31.5,3.47,55.7,2.01,3.4,1.6e-08,1.6e-09,3.6e-08,2.8e-06,1.4e-05,1.4e-05,1.8e-06,2.4e-09,2.9e-10,6.4e-06,1.3e-06,AMO,"Otto Matic",19190,1972-09-07,2025-03-23,1405,,,0,.37617,,,,,,,,,
20002212,"  2212 Hephaistos (1978 SB)",5.7,1.17e+03,0.112,2212,Hephaistos,,Y,N,0,13.50,,,,,,,,0.163,48,,0.766,0.397,,,SG,,,"JPL 709",2461000.5,61000,2025-11-21.0,J2000,0.8347,2.168,0.358,11.20,26.57,210.46,308.24,3.98,0.3088,2461168.08,2026-05-07.5,3.19,43.6,1.15,3.1,1.1e-09,1.4e-09,2.4e-09,7.7e-08,3.8e-07,3.6e-07,6.9e-07,2.6e-09,3.1e-10,2.4e-06,1.2e-06,APO,"Otto Matic",17173,1978-09-27,2025-10-03,4453,,,0,.45537,,,,,,,,,
20002329,"  2329 Orthos (1976 WA)",,1.37e+03,0.0936,2329,Orthos,,Y,N,0,14.58,,,,,,,,,4.6473,,,,,,,,,376,2461000.5,61000,2025-11-21.0,J2000,0.6533,2.411,0.836,24.46,169.25,146.11,71.29,3.99,0.2632,2460729.66,2025-02-23.1,3.74,36.4,1.7,3.1,6.0e-10,3.5e-09,1.3e-09,1.3e-07,1.6e-07,2.1e-07,1.7e-06,5.7e-09,5.7e-10,5.7e-06,2.9e-06,APO,"Otto Matic",17482,1976-05-31,2024-04-11,1981,,,0,.45722,,,,,,,,,
20002340,"  2340 Hathor (1976 UA)",0.3,283,0.00663,2340,Hathor,,Y,Y,0,20.43,,,,,,,,,3.35,,0.770,0.500,,Sq,CSU,,,62,2461000.5,61000,2025-11-21.0,J2000,0.4499,0.8439,0.464,5.86,211.28,40.12,201.98,1.22,1.271,2461124.78,2026-03-25.2,0.775,2.58,3.81,6.88,3.6e-08,1.0e-09,3.1e-08,4.3e-06,1.4e-05,1.4e-05,7.2e-06,1.5e-09,2.3e-09,5.8e-06,5.0e-07,ATE,Giorgini,16477,1976-10-25,2021-12-05,572,4,3,0,.37471,,,,-3.0e-14,6.3e-16,,,,
20002368,"  2368 Beltrovata (1977 RA)",2.3,1.12e+03,0.231,2368,Beltrovata,,Y,N,0,15.15,,,,,,,,0.27,5.786,,0.830,0.520,,,SQ,,,414,2461000.5,61000,2025-11-21.0,J2000,0.4134,2.105,1.235,5.22,287.29,43.05,287.81,2.98,0.3228,2461224.17,2026-07-02.6,3.05,90.1,2.41,3.63,2.6e-09,1.2e-09,5.6e-09,8.4e-08,6.6e-07,1.1e-06,1.4e-06,1.7e-09,2.7e-10,4.5e-06,9.4e-07,AMO,"Otto Matic",17425,1977-09-04,2025-05-20,2312,,,0,.5174,,,,,,,,,
20002608,"  2608 Seneca (1978 DA)",0.9,1.47e+03,0.153,2608,Seneca,,Y,N,0,17.48,,,,,,,,0.21,8,,0.826,0.454,,,S,,,24,2461000.5,61000,2025-11-21.0,J2000,0.5647,2.53,1.102,14.43,166.42,38.71,10.72,3.96,0.2449,2460956.72,2025-10-08.2,4.03,59.6,1.14,3.17,1.1e-07,2.4e-08,2.6e-07,1.7e-05,3.3e-05,1.1e-04,1.9e-04,3.8e-08,3.5e-09,7.7e-04,2.1e-05,AMO,"Otto Matic",16284,1978-02-17,2022-09-18,83,,,1,.64986,,,,,,,,,
20003102,"  3102 Krok (1981 QA)",1.6,1.15e+03,0.183,3102,Krok,,Y,N,0,16.16,,,,,,,,,149.4,,0.834,0.521,,S,QRS,,,"JPL 451",2461000.5,61000,2025-11-21.0,J2000,0.4492,2.151,1.185,8.44,172.05,154.75,6.75,3.12,0.3124,2460978.89,2025-10-30.3,3.16,71.3,2.27,3.56,2.8e-09,7.1e-10,5.8e-09,5.7e-08,5.7e-07,6.5e-07,5.0e-07,1.0e-09,1.6e-10,1.6e-06,5.7e-07,AMO,"Otto Matic",16092,1981-08-21,2025-09-11,2861,,,0,.46916,,,,,,,,,
20003103,"  3103 Eger (1982 BB)",1.5,608,0.0786,3103,Eger,,Y,N,0,15.30,,,,,,,,0.64,5.7103,,0.732,0.235,,Xe,,,,844,2461000.5,61000,2025-11-21.0,J2000,0.3542,1.404,0.907,20.93,129.73,254.10,181.12,1.90,0.5925,2461302.41,2026-09-18.9,1.66,30.6,3.7,4.61,6.2e-10,5.7e-10,9.9e-10,4.7e-08,1.2e-07,1.5e-07,1.0e-06,7.7e-10,3.6e-10,1.9e-06,3.7e-07,APO,"Otto Matic",15813,1982-01-21,2025-05-08,8413,1,3,0,.28814,,,,-5.0e-15,7.9e-16,,,,
20003122,"  3122 Florence (1981 ET3)",4.9,859,0.0436,3122,Florence,,Y,Y,2,14.08,,,,,,,,0.231,2.3581,,,,,S,,,,"JPL 984",2461000.5,61000,2025-11-21.0,J2000,0.4232,1.769,1.020,22.14,336.04,27.88,168.26,2.52,0.4189,2460598.88,2024-10-15.3,2.35,17,2.99,3.92,6.0e-10,4.4e-10,1.1e-09,5.3e-08,1.5e-07,1.7e-07,5.2e-07,6.3e-10,1.6e-10,1.1e-06,3.2e-07,AMO,"Otto Matic",16876,1979-03-09,2025-05-22,9973,6,0,0,.28566,,,,,,,,,
20003199,"  3199 Nefertiti (1982 RA)",2.2,722,0.215,3199,Nefertiti,,Y,N,0,14.99,,,,,,,,0.42,3.021,,0.895,0.418,,Sq,S,,,499,2461000.5,61000,2025-11-21.0,J2000,0.2841,1.575,1.127,32.96,339.97,53.44,278.49,2.02,0.4988,2461163.90,2026-05-03.4,1.98,83.8,3.61,4.19,3.8e-09,2.0e-10,6.1e-09,1.1e-07,1.8e-07,8.3e-07,1.3e-06,2.6e-10,9.5e-11,2.6e-06,1.4e-07,AMO,"Otto Matic",15656,1982-09-13,2025-07-25,4138,0,1,0,.4326,,,,,,,,,
