"spkid","full_name","diameter","per","moid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per_y","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20662564,"662564 (2006 JF)",,412,0.226,662564,,,Y,N,0,19.59,,,,,,,,,,,,,,,,,,45,2461000.5,61000,2025-11-21.0,J2000,0.6580,1.084,0.371,42.50,216.25,211.05,206.85,1.80,0.8737,2461175.79,2026-05-15.2,1.13,87.8,3.71,5.31,7.7e-08,3.4e-09,8.3e-08,1.4e-05,6.3e-06,8.8e-06,1.8e-05,5.6e-09,4.1e-09,2.1e-05,1.9e-06,APO,"Otto Matic",6963,2005-05-13,2024-06-05,142,,,0,.57459,,,,,,,,,
20663005,"663005 (2006 WU29)",,1.55e+03,0.28,663005,,,Y,N,0,18.38,,,,,,,,,,,,,,,,,,85,2461000.5,61000,2025-11-21.0,J2000,0.5270,2.62,1.239,28.96,96.00,336.86,166.59,4.00,0.2324,2460283.61,2023-12-05.1,4.24,109,1.43,3.04,5.0e-08,5.9e-09,1.3e-07,1.2e-05,7.1e-06,2.9e-05,8.5e-06,9.0e-09,7.8e-10,3.5e-05,5.2e-06,AMO,"Otto Matic",6352,2006-11-22,2024-04-13,401,,,0,.42269,,,,,,,,,
20663216,"663216 (2007 DK8)",,774,0.209,663216,,,Y,N,0,19.11,,,,,,,,,,,,,,,,,,66,2461000.5,61000,2025-11-21.0,J2000,0.4190,1.65,0.959,32.58,155.04,99.09,257.47,2.34,0.465,2461220.98,2026-06-29.4,2.12,81.2,3.28,4.01,3.9e-08,2.7e-09,6.5e-08,1.7e-05,1.1e-05,2.0e-05,1.3e-05,3.8e-09,1.1e-09,2.7e-05,1.9e-06,APO,"Otto Matic",6433,2007-02-17,2024-09-28,263,,,0,.55443,,,,,,,,,
20663491,"663491 (2007 RT9)",,785,0.235,663491,,,Y,N,0,19.06,,,,,,,,,,,,,,,,,,35,2461000.5,61000,2025-11-21.0,J2000,0.5858,1.666,0.690,21.28,163.91,24.77,279.77,2.64,0.4585,2461175.50,2026-05-14.9,2.15,91.5,2.36,3.98,4.1e-08,5.4e-09,7.0e-08,8.3e-06,2.1e-05,2.6e-05,1.6e-05,8.6e-09,2.2e-09,3.5e-05,3.8e-06,APO,"Otto Matic",6170,2007-09-10,2024-08-01,124,,,0,.68262,,,,,,,,,
20663927,"663927 (2007 YO56)",,529,0.148,663927,,,Y,N,0,20.15,,,,,,,,,,,,,,,,,,39,2461000.5,61000,2025-11-21.0,J2000,0.3572,1.281,0.823,15.62,287.63,333.44,358.29,1.74,0.6801,2461003.01,2025-11-23.5,1.45,57.7,3.37,4.96,5.0e-08,2.6e-09,6.4e-08,8.1e-06,2.2e-05,2.8e-05,2.2e-05,3.5e-09,2.1e-09,3.2e-05,1.6e-06,APO,"Otto Matic",6183,2007-12-30,2024-12-03,132,,,0,.58073,,,,,,,,,
20664078,"664078 (2008 DL5)",,419,0.0407,664078,,,Y,N,0,22.11,,,,,,,,,,,,,,,,,,40,2461000.5,61000,2025-11-21.0,J2000,0.4735,1.096,0.577,18.64,163.69,243.98,228.19,1.61,0.8594,2461153.88,2026-04-23.3,1.15,15.8,3.88,5.51,5.1e-08,8.9e-09,6.0e-08,1.7e-05,6.5e-06,9.6e-06,2.1e-05,1.3e-08,1.1e-08,2.7e-05,5.1e-06,APO,"Otto Matic",5858,2008-02-28,2024-03-13,140,,,0,.47859,,,,-1.1e-13,1.4e-14,,,,
20664220,"664220 (2008 GV3)",,1.36e+03,0.246,664220,,,Y,N,0,18.45,,,,,,,,,,,,,,,,,,47,2461000.5,61000,2025-11-21.0,J2000,0.6056,2.398,0.946,72.86,208.59,72.81,250.47,3.85,0.2655,2461413.13,2027-01-07.6,3.71,95.8,2.78,2.49,5.7e-08,9.4e-09,1.3e-07,2.2e-05,5.4e-06,1.5e-05,9.0e-06,1.5e-08,1.6e-09,3.6e-05,8.0e-06,APO,"Otto Matic",5695,2008-04-07,2023-11-10,240,,,0,.44643,,,,,,,,,
20665151,"665151 (2009 AH16)",,1.01e+03,0.273,665151,,,Y,N,0,17.83,,,,,,,,,,,,,,,,,,59,2461000.5,61000,2025-11-21.0,J2000,0.7578,1.969,0.477,21.98,54.45,329.56,56.79,3.46,0.3567,2460841.31,2025-06-14.8,2.76,106,2.11,3.39,4.3e-08,1.0e-08,8.5e-08,1.1e-05,2.1e-05,2.1e-05,1.0e-05,1.8e-08,2.8e-09,2.7e-05,7.8e-06,APO,"Otto Matic",5210,2009-01-15,2023-04-22,714,,,0,.342,,,,,,,,,
20665250,"665250 (2009 CA2)",,675,0.183,665250,,,Y,N,0,18.77,,,,,,,,,,,,,,,,,,54,2461000.5,61000,2025-11-21.0,J2000,0.4799,1.506,0.783,31.73,42.88,22.74,61.40,2.23,0.5331,2460885.34,2025-07-28.8,1.85,71.4,3.22,4.26,1.8e-07,6.7e-09,2.7e-07,2.1e-05,1.3e-05,1.8e-05,2.9e-05,9.9e-09,3.6e-09,5.5e-05,4.5e-06,APO,"Otto Matic",5591,2009-02-03,2024-05-26,177,,,0,.50856,,,,,,,,,
20665326,"665326 (2009 EF3)",,394,0.197,665326,,,Y,N,0,21.57,,,,,,,,,,,,,,,,,,43,2461000.5,61000,2025-11-21.0,J2000,0.3075,1.051,0.728,16.53,177.51,211.05,309.00,1.37,0.9141,2461056.29,2026-01-15.7,1.08,76.6,4.09,5.77,1.3e-07,1.7e-08,1.2e-07,1.1e-05,1.1e-05,1.6e-05,7.1e-06,2.2e-08,2.2e-08,8.8e-06,9.5e-06,APO,"Otto Matic",5477,2009-03-15,2024-03-13,156,,,0,.60379,,,,,,,,,
20665382,"665382 (2009 HV44)",,785,0.199,665382,,,Y,N,0,18.88,,,,,,,,,,,,,,,,,,118,2461000.5,61000,2025-11-21.0,J2000,0.4233,1.665,0.960,37.98,217.10,76.87,226.07,2.37,0.4589,2461292.37,2026-09-08.8,2.15,77.3,3.23,3.93,1.7e-08,1.2e-09,2.9e-08,1.3e-05,3.9e-06,8.3e-06,5.0e-06,1.7e-09,5.0e-10,1.1e-05,8.5e-07,APO,"Otto Matic",5719,2009-04-22,2024-12-18,632,,,0,.44709,,,,,,,,,
20665390,"665390 (2009 HD82)",,513,0.0812,665390,,,Y,N,0,21.69,,,,,,,,,,,,,,,,,,49,2461000.5,61000,2025-11-21.0,J2000,0.4766,1.254,0.656,5.80,191.19,148.00,227.71,1.85,0.7021,2461188.93,2026-05-28.4,1.4,31.6,3.55,5.01,3.2e-08,6.9e-09,4.0e-08,5.8e-06,4.9e-05,5.3e-05,1.4e-05,1.0e-08,5.8e-09,2.1e-05,4.2e-06,APO,"Otto Matic",5139,2009-04-24,2023-05-20,204,,,0,.58788,,,,-5.0e-14,1.3e-14,,,,
20665429,"665429 (2009 KT21)",,789,0.17,665429,,,Y,N,0,19.86,,,,,,,,,,,,,,,,,,"JPL 41",2461000.5,61000,2025-11-21.0,J2000,0.3326,1.671,1.115,6.94,230.83,244.56,323.52,2.23,0.4565,2461080.40,2026-02-08.9,2.16,66.3,2.93,4.18,2.9e-08,2.9e-09,4.8e-08,7.4e-06,3.3e-05,3.6e-05,1.3e-05,3.9e-09,1.2e-09,2.9e-05,2.0e-06,AMO,"Otto Matic",5970,2009-05-29,2025-10-02,141,,,0,.55714,,,,,,,,,
20666220,"666220 (2010 AO60)",,339,0.0813,666220,,,Y,N,0,21.73,,,,,,,,,,,,,,,,,,57,2461000.5,61000,2025-11-21.0,J2000,0.2484,0.9516,0.715,11.06,309.88,37.34,135.14,1.19,1.062,2460873.22,2025-07-16.7,0.928,31.7,4.16,6.28,2.9e-07,5.1e-09,2.8e-07,1.5e-05,9.7e-06,3.5e-05,7.5e-05,6.4e-09,8.6e-09,7.0e-05,2.7e-06,ATE,"Otto Matic",5175,2010-01-15,2024-03-17,264,,,0,.50515,,,,,,,,,
20666241,"666241 (2010 BK2)",0.118,314,0.0329,666241,,,Y,N,0,22.04,,,,,,,,0.205,,,,,,,,,0.00,28,2461000.5,61000,2025-11-21.0,J2000,0.4479,0.9043,0.499,6.05,278.00,72.66,232.06,1.31,1.146,2461112.13,2026-03-12.6,0.86,12.8,4.12,6.5,2.6e-07,6.3e-09,2.4e-07,1.8e-05,1.1e-04,1.0e-04,2.7e-05,9.1e-09,1.2e-08,2.3e-05,3.3e-06,ATE,"Otto Matic",4831,2010-01-19,2023-04-12,85,,,0,.44461,,,,,,,,,
20666332,"666332 (2010 ED43)",,565,0.114,666332,,,Y,N,0,19.85,,,,,,,,,,,,,,,,,,29,2461000.5,61000,2025-11-21.0,J2000,0.2022,1.337,1.066,56.99,158.49,226.38,168.87,1.61,0.6377,2460735.68,2025-03-01.1,1.55,44.3,3.87,4.43,1.4e-07,5.3e-09,1.8e-07,4.6e-05,8.7e-06,3.6e-05,4.3e-05,6.4e-09,3.8e-09,6.6e-05,3.4e-06,AMO,"Otto Matic",5113,2010-03-13,2024-03-12,98,,,0,.46256,,,,,,,,,
20666360,"666360 (2010 FC6)",,401,0.436,666360,,,Y,N,0,20.23,,,,,,,,,,,,,,,,,,44,2461000.5,61000,2025-11-21.0,J2000,0.4675,1.064,0.566,30.43,181.32,179.30,296.29,1.56,0.8983,2461071.43,2026-01-30.9,1.1,170,3.89,5.58,1.2e-07,3.2e-09,1.3e-07,1.1e-05,7.7e-06,1.7e-05,3.6e-05,4.8e-09,4.1e-09,4.1e-05,1.8e-06,APO,"Otto Matic",8786,1999-03-21,2023-04-10,158,,,0,.50114,,,,,,,,,
20666673,"666673 (2010 TJ7)",,780,0.166,666673,,,Y,N,0,19.69,,,,,,,,,,,,,,,,,,"JPL 50",2461000.5,61000,2025-11-21.0,J2000,0.2988,1.658,1.163,21.42,25.78,357.48,23.01,2.15,0.4617,2460950.67,2025-10-02.1,2.13,64.7,3.3,4.14,6.3e-08,2.0e-09,1.0e-07,9.7e-06,9.8e-06,1.8e-05,9.5e-06,2.7e-09,8.6e-10,2.1e-05,1.4e-06,AMO,"Otto Matic",5475,2010-10-05,2025-10-01,278,,,0,.42387,,,,,,,,,
20666729,"666729 (2010 TV149)",,809,0.0446,666729,,,Y,Y,0,18.72,,,,,,,,,,,,,,,,,,106,2461000.5,61000,2025-11-21.0,J2000,0.5189,1.699,0.817,9.79,78.57,42.92,254.20,2.58,0.445,2461238.24,2026-07-16.7,2.21,17.3,2.57,4.03,2.4e-08,3.3e-09,4.0e-08,5.2e-06,3.2e-05,3.3e-05,4.3e-06,5.0e-09,1.3e-09,1.0e-05,2.4e-06,APO,"Otto Matic",7736,2002-06-15,2023-08-20,629,,,0,.36307,,,,,,,,,
20666966,"666966 (2010 XD11)",,1.2e+03,0.2,666966,,,Y,N,0,17.96,,,,,,,,,,,,,,,,,,61,2461000.5,61000,2025-11-21.0,J2000,0.8528,2.211,0.325,16.21,117.76,196.41,234.79,4.10,0.2997,2461418.26,2027-01-12.7,3.29,77.9,1.25,3.01,3.7e-08,1.7e-08,8.2e-08,1.1e-05,3.0e-05,3.1e-05,1.0e-05,3.1e-08,3.4e-09,3.8e-05,1.4e-05,APO,"Otto Matic",4787,2010-12-03,2024-01-11,246,,,0,.50536,,,,,,,,,
20667255,"667255 (2011 EG17)",,592,0.0441,667255,,,Y,Y,0,20.68,,,,,,,,,,,,,,,,,,34,2461000.5,61000,2025-11-21.0,J2000,0.4188,1.38,0.802,20.11,170.10,241.56,93.70,1.96,0.6079,2460846.36,2025-06-19.8,1.62,17.2,3.57,4.65,1.6e-07,3.5e-09,2.2e-07,1.4e-05,1.3e-05,2.5e-05,4.0e-05,5.0e-09,2.3e-09,6.6e-05,2.3e-06,APO,"Otto Matic",4774,2011-03-06,2024-03-31,130,,,0,.48957,,,,,,,,,
20667303,"667303 (2011 FR29)",,398,0.061,667303,,,Y,N,0,21.55,,,,,,,,,,,,,,,,,,55,2461000.5,61000,2025-11-21.0,J2000,0.3467,1.058,0.691,3.62,214.92,176.26,298.87,1.42,0.9056,2461068.00,2026-01-27.4,1.09,23.8,4.01,5.76,1.9e-08,2.1e-09,1.9e-08,2.4e-06,4.6e-05,4.8e-05,7.0e-06,2.9e-09,2.8e-09,7.6e-06,1.2e-06,APO,"Otto Matic",4751,2011-03-30,2024-04-01,249,,,0,.53875,,,,,,,,,
20668499,"668499 (2012 AB11)",,728,0.0962,668499,,,Y,N,0,22.32,,,,,,,,,,,,,,,,,,25,2461000.5,61000,2025-11-21.0,J2000,0.3275,1.583,1.065,27.76,108.79,20.60,334.74,2.10,0.4948,2461051.55,2026-01-11.0,1.99,37.4,3.04,4.21,8.5e-08,3.3e-09,1.3e-07,2.5e-05,6.8e-06,1.2e-04,6.1e-05,4.4e-09,1.6e-09,1.2e-04,2.3e-06,AMO,"Otto Matic",3645,2012-01-14,2022-01-06,119,,,0,.5501,,,,,,,,,
20668727,"668727 (2012 FS62)",,499,0.115,668727,,,Y,N,0,20.15,,,,,,,,,,,,,,,,,,37,2461000.5,61000,2025-11-21.0,J2000,0.3960,1.232,0.744,13.44,37.24,314.01,223.83,1.72,0.7209,2461189.39,2026-05-28.8,1.37,44.9,3.74,5.09,7.4e-08,1.1e-08,9.5e-08,9.0e-06,1.7e-05,2.7e-05,3.8e-05,1.6e-08,1.0e-08,5.5e-05,7.0e-06,APO,"Otto Matic",4364,2012-03-29,2024-03-10,113,,,0,.68379,,,,,,,,,
20668779,"668779 (2012 HO1)",,1.09e+03,0.114,668779,,,Y,N,0,23.75,,,,,,,,,,,,,,,,,,30,2461000.5,61000,2025-11-21.0,J2000,0.4626,2.078,1.117,7.17,23.95,197.60,186.58,3.04,0.3289,2461527.71,2027-05-02.2,3,44.3,1.95,3.62,5.5e-08,4.3e-09,1.1e-07,1.0e-05,1.2e-05,4.8e-05,1.7e-05,6.3e-09,1.0e-09,5.2e-05,3.4e-06,AMO,"Otto Matic",4394,2012-04-18,2024-04-29,101,,,0,.51795,,,,,,,,,
20668935,"668935 (2012 OC1)",,1.62e+03,0.271,668935,,,Y,N,0,17.56,,,,,,,,,,,,,,,,,,47,2461000.5,61000,2025-11-21.0,J2000,0.5404,2.697,1.240,8.32,101.18,114.13,24.84,4.15,0.2225,2460888.86,2025-08-01.3,4.43,106,0.96,3.13,7.1e-08,3.1e-08,1.9e-07,1.7e-05,5.5e-05,9.6e-05,6.8e-05,4.8e-08,3.8e-09,3.0e-04,2.8e-05,AMO,"Otto Matic",7877,2003-07-11,2025-02-02,219,,,0,.43865,,,,,,,,,
20668949,"668949 (2012 PP28)",,1.03e+03,0.0265,668949,,,Y,Y,0,19.27,,,,,,,,,,,,,,,,,,35,2461000.5,61000,2025-11-21.0,J2000,0.6064,1.99,0.783,5.67,254.06,133.68,240.79,3.20,0.3512,2461339.97,2026-10-26.4,2.81,10.3,2.29,3.59,7.7e-08,1.2e-08,1.5e-07,2.1e-05,2.4e-04,2.4e-04,1.3e-05,1.9e-08,3.1e-09,4.0e-05,9.0e-06,APO,"Otto Matic",4215,2012-08-14,2024-02-28,185,,,0,.36381,,,,,,,,,
20669051,"669051 (2012 SD22)",,1.01e+03,0.0177,669051,,,Y,Y,0,20.08,,,,,,,,,,,,,,,,,,46,2461000.5,61000,2025-11-21.0,J2000,0.5727,1.964,0.839,7.91,140.20,313.86,248.66,3.09,0.3581,2461311.44,2026-09-27.9,2.75,6.89,2.17,3.65,1.8e-08,3.2e-09,3.4e-08,8.1e-06,4.8e-05,5.0e-05,8.1e-06,5.1e-09,8.9e-10,2.3e-05,2.5e-06,APO,"Otto Matic",8281,2001-08-26,2024-04-28,222,,,0,.41107,,,,,,,,,
20669555,"669555 (2012 YQ1)",,1.03e+03,0.0064,669555,,,Y,Y,0,21.11,,,,,,,,,,,,,,,,,,20,2461000.5,61000,2025-11-21.0,J2000,0.5630,1.998,0.873,5.15,120.01,42.25,189.85,3.12,0.3491,2461487.89,2027-03-23.3,2.82,2.49,1.88,3.62,3.8e-08,2.1e-08,7.6e-08,7.6e-06,4.1e-05,4.1e-05,2.8e-05,3.3e-08,5.6e-09,8.8e-05,1.6e-05,APO,"Otto Matic",4913,2010-05-31,2023-11-12,95,,,0,.51417,,,,,,,,,
20669608,"669608 (2013 AW52)",,430,0.181,669608,,,Y,N,0,20.02,,,,,,,,,,,,,,,,,,43,2461000.5,61000,2025-11-21.0,J2000,0.4879,1.114,0.571,19.00,310.36,36.48,58.33,1.66,0.8381,2460930.90,2025-09-12.4,1.18,70.3,3.79,5.43,2.4e-07,6.2e-09,2.7e-07,1.8e-05,1.3e-05,2.3e-05,3.0e-05,9.2e-09,6.9e-09,3.6e-05,3.6e-06,APO,"Otto Matic",2578,2013-01-06,2020-01-28,179,,,0,.47145,,,,,,,,,
20670011,"670011 (2013 EH89)",,573,0.0873,670011,,,Y,N,0,20.08,,,,,,,,,,,,,,,,,,52,2461000.5,61000,2025-11-21.0,J2000,0.4041,1.35,0.804,7.10,260.41,160.06,89.04,1.89,0.6287,2460858.87,2025-07-02.3,1.57,34,3.46,4.78,3.8e-08,2.9e-09,5.2e-08,4.0e-06,9.8e-05,1.0e-04,1.0e-05,4.0e-09,2.0e-09,1.6e-05,1.8e-06,APO,"Otto Matic",5181,2010-01-27,2024-04-04,244,,,0,.42947,,,,,,,,,
20670246,"670246 (2013 JE1)",,589,0.176,670246,,,Y,N,0,19.24,,,,,,,,,,,,,,,,,,47,2461000.5,61000,2025-11-21.0,J2000,0.4093,1.375,0.812,32.68,185.75,163.10,211.80,1.94,0.6112,2461243.00,2026-07-21.4,1.61,68.6,3.54,4.57,2.3e-07,7.5e-09,3.2e-07,1.8e-05,1.1e-05,2.2e-05,5.4e-05,1.1e-08,5.0e-09,9.0e-05,4.8e-06,APO,"Otto Matic",8768,2000-04-10,2024-04-12,141,,,0,.41191,,,,,,,,,
20670295,"670295 (2013 LH16)",,1.83e+03,0.121,670295,,,Y,N,0,18.91,,,,,,,,,,,,,,,,,,55,2461000.5,61000,2025-11-21.0,J2000,0.7945,2.923,0.601,7.95,161.03,205.38,147.29,5.25,0.1972,2460253.49,2023-11-04.9,5,47.2,0.28,2.68,4.0e-08,1.7e-08,1.2e-07,5.9e-06,4.9e-05,4.9e-05,3.5e-06,3.0e-08,1.7e-09,1.4e-05,1.6e-05,APO,"Otto Matic",3878,2013-06-07,2024-01-19,328,,,0,.36421,,,,,,,,,
20670610,"670610 (2013 VK5)",,497,0.186,670610,,,Y,N,0,20.48,,,,,,,,,,,,,,,,,,27,2461000.5,61000,2025-11-21.0,J2000,0.5845,1.228,0.510,19.41,67.92,215.57,357.56,1.95,0.7246,2461003.87,2025-11-24.3,1.36,72.2,3.26,4.98,1.2e-07,1.5e-08,1.5e-07,1.2e-05,3.1e-05,5.1e-05,7.7e-05,2.3e-08,1.3e-08,1.1e-04,8.9e-06,APO,"Otto Matic",4067,2013-11-04,2024-12-23,109,,,0,.44982,,,,,,,,,
20670931,"670931 (2014 DJ112)",,564,0.236,670931,,,Y,N,0,20.10,,,,,,,,,,,,,,,,,,34,2461000.5,61000,2025-11-21.0,J2000,0.4535,1.336,0.730,26.14,162.32,208.65,327.68,1.94,0.6379,2461051.16,2026-01-10.6,1.55,92,3.55,4.7,1.2e-07,1.2e-08,1.7e-07,1.5e-05,1.2e-05,3.0e-05,6.0e-05,1.8e-08,8.7e-09,9.4e-05,7.7e-06,APO,"Otto Matic",4046,2014-02-28,2025-03-28,102,,,0,.57224,,,,,,,,,
20671076,"671076 (2014 FP47)",,461,0.0257,671076,,,Y,N,0,22.30,,,,,,,,,0.44,,,,,,,,,62,2461000.5,61000,2025-11-21.0,J2000,0.2601,1.168,0.864,5.06,28.70,271.90,5.75,1.47,0.7809,2460993.13,2025-11-13.6,1.26,10,3.72,5.37,4.3e-08,3.4e-09,4.8e-08,5.0e-06,1.5e-05,1.7e-05,7.4e-06,4.3e-09,3.4e-09,9.5e-06,2.0e-06,APO,"Otto Matic",3902,2014-03-30,2024-12-04,261,,,0,.46435,,,,,,,,,
20671243,"671243 (2014 HR184)",,539,0.103,671243,,,Y,N,0,20.04,,,,,,,,,,,,,,,,,,31,2461000.5,61000,2025-11-21.0,J2000,0.3297,1.296,0.869,14.33,253.41,165.21,98.19,1.72,0.6678,2460853.46,2025-06-26.9,1.48,40.2,3.62,4.93,2.7e-07,8.3e-09,3.5e-07,1.2e-05,1.8e-05,9.1e-05,1.7e-04,1.1e-08,6.4e-09,2.5e-04,5.2e-06,APO,"Otto Matic",8062,2001-06-15,2023-07-12,88,,,0,.49012,,,,,,,,,
20671294,"671294 (2014 JO25)",,1.08e+03,0.00561,671294,,,Y,Y,0,17.89,,,,,,,,,4.5286,,,,,,,,,98,2461000.5,61000,2025-11-21.0,J2000,0.8867,2.066,0.234,25.15,30.24,49.95,334.29,3.90,0.332,2461077.93,2026-02-06.4,2.97,2.18,2.08,3.05,2.2e-08,4.7e-09,4.6e-08,7.9e-06,5.0e-07,5.4e-06,3.5e-06,8.8e-09,1.1e-09,1.1e-05,3.7e-06,APO,"Otto Matic",4408,2011-05-16,2023-06-10,1808,8,3,0,.24368,,,,,,,,,
20671970,"671970 (2014 QO296)",,908,0.0127,671970,,,Y,Y,0,20.05,,,,,,,,,,,,,,,,,,42,2461000.5,61000,2025-11-21.0,J2000,0.4698,1.836,0.973,10.93,193.50,30.71,217.71,2.70,0.3963,2461359.50,2026-11-15.0,2.49,4.93,2.3,3.86,3.2e-08,3.7e-09,5.8e-08,4.3e-06,4.7e-05,4.8e-05,4.4e-06,5.4e-09,1.2e-09,1.1e-05,2.7e-06,APO,"Otto Matic",3638,2014-08-20,2024-08-05,136,,,0,.54016,,,,,,,,,
20672457,"672457 (2014 UR116)",,1.09e+03,0.0287,672457,,,Y,Y,0,19.80,,,,,,,,,17.751,,,,,,,,,84,2461000.5,61000,2025-11-21.0,J2000,0.7288,2.069,0.561,6.58,5.59,287.20,275.11,3.58,0.3313,2461256.74,2026-08-04.2,2.98,11.2,1.71,3.37,8.6e-08,4.2e-09,1.8e-07,7.3e-06,3.6e-05,3.9e-05,2.5e-06,7.3e-09,1.0e-09,7.9e-06,3.3e-06,APO,"Otto Matic",5485,2008-12-01,2023-12-08,606,,,0,.40224,,,,,,,,,
20672531,"672531 (2014 VU1)",,1.05e+03,0.33,672531,,,Y,N,0,18.74,,,,,,,,,,,,,,,,,,36,2461000.5,61000,2025-11-21.0,J2000,0.3567,2.016,1.297,21.08,61.73,333.06,303.51,2.74,0.3443,2461164.56,2026-05-04.0,2.86,128,2.73,3.67,1.2e-07,4.7e-08,2.2e-07,1.0e-05,1.8e-05,3.4e-05,5.5e-05,6.4e-08,1.2e-08,1.6e-04,3.7e-05,AMO,"Otto Matic",3376,2014-11-09,2024-02-06,142,,,0,.41277,,,,,,,,,
20672745,"672745 (2014 WV363)",,917,0.0301,672745,,,Y,Y,0,19.05,,,,,,,,,,,,,,,,,,18,2461000.5,61000,2025-11-21.0,J2000,0.5157,1.847,0.895,5.52,77.94,210.12,175.10,2.80,0.3927,2460554.56,2024-09-01.0,2.51,11.7,2.4,3.83,9.5e-08,1.4e-08,1.8e-07,4.5e-06,9.9e-05,1.0e-04,2.1e-05,2.1e-08,4.4e-09,5.1e-05,1.0e-05,APO,"Otto Matic",4817,2011-01-30,2024-04-08,97,,,0,.65136,,,,,,,,,
20672881,"672881 (2014 XG8)",,1.1e+03,0.157,672881,,,Y,N,0,17.72,,,,,,,,,,,,,,,,,,35,2461000.5,61000,2025-11-21.0,J2000,0.5206,2.089,1.002,57.13,258.87,57.09,299.49,3.18,0.3264,2461185.90,2026-05-25.3,3.02,61,2.73,3.08,1.4e-07,2.3e-08,3.0e-07,1.3e-05,7.0e-06,2.0e-05,4.0e-05,3.5e-08,5.3e-09,1.2e-04,1.8e-05,APO,"Otto Matic",3340,2014-12-12,2024-02-03,109,,,0,.52399,,,,,,,,,
20673011,"673011 (2015 AR45)",,596,0.0175,673011,,,Y,Y,0,20.00,,,,,,,,,,,,,,,,,,36,2461000.5,61000,2025-11-21.0,J2000,0.7013,1.385,0.414,9.23,114.35,239.63,279.89,2.36,0.6045,2461133.03,2026-04-02.5,1.63,6.8,3.11,4.48,7.1e-08,1.8e-08,1.0e-07,7.4e-06,2.5e-05,2.4e-05,5.4e-05,3.0e-08,1.2e-08,9.2e-05,1.1e-05,APO,"Otto Matic",5491,2010-02-09,2025-02-21,168,,,0,.49833,,,,,,,,,
20673566,"673566 (2015 DE200)",,473,0.11,673566,,,Y,N,0,20.25,,,,,,,,,,,,,,,,,,47,2461000.5,61000,2025-11-21.0,J2000,0.5222,1.189,0.568,18.71,320.70,54.02,224.20,1.81,0.7604,2461179.08,2026-05-18.5,1.3,42.8,3.75,5.15,1.4e-07,8.1e-09,1.7e-07,9.5e-06,1.1e-05,1.4e-05,2.4e-05,1.2e-08,7.7e-09,3.3e-05,4.8e-06,APO,"Otto Matic",3324,2015-02-23,2024-03-31,227,,,0,.53975,,,,,,,,,
20673675,"673675 (2015 FM34)",,1.1e+03,0.0479,673675,,,Y,N,0,22.50,,,,,,,,,,,,,,,,,,33,2461000.5,61000,2025-11-21.0,J2000,0.5771,2.082,0.881,4.68,140.08,350.51,212.81,3.28,0.3281,2461449.16,2027-02-12.6,3,18.6,1.8,3.53,3.2e-08,5.9e-09,6.6e-08,5.5e-06,1.2e-04,1.2e-04,3.6e-06,9.4e-09,1.4e-09,1.1e-05,4.7e-06,APO,"Otto Matic",3334,2015-03-18,2024-05-03,113,,,0,.57698,,,,,,,,,
20673677,"673677 (2015 FF37)",,689,0.0779,673677,,,Y,N,0,19.02,,,,,,,,,,,,,,,,,,52,2461000.5,61000,2025-11-21.0,J2000,0.4156,1.526,0.892,15.36,29.15,339.97,64.22,2.16,0.5228,2460877.68,2025-07-21.1,1.89,30.3,3.31,4.36,5.3e-08,1.5e-08,7.6e-08,6.5e-06,1.6e-05,1.7e-05,1.1e-05,2.2e-08,7.9e-09,1.9e-05,1.0e-05,APO,"Otto Matic",7984,2002-04-09,2024-02-17,208,,,0,.56406,,,,,,,,,
20673713,"673713 (2015 FQ117)",,292,0.0284,673713,,,Y,Y,0,20.87,,,,,,,,,,,,,,,,,,28,2461000.5,61000,2025-11-21.0,J2000,0.6205,0.8606,0.327,4.55,293.85,63.12,311.93,1.39,1.235,2461039.44,2025-12-29.9,0.798,11,4.05,6.68,7.9e-07,1.8e-08,6.8e-07,1.6e-05,4.0e-04,4.0e-04,9.1e-05,2.9e-08,3.8e-08,7.4e-05,9.0e-06,ATE,"Otto Matic",2919,2015-03-22,2023-03-19,84,,,0,.54753,,,,,,,,,
20674207,"674207 (2015 MN66)",,492,0.24,674207,,,Y,N,0,20.16,,,,,,,,,,,,,,,,,,45,2461000.5,61000,2025-11-21.0,J2000,0.4524,1.219,0.668,17.75,56.87,333.62,184.00,1.77,0.7321,2461240.91,2026-07-19.4,1.35,93.4,3.68,5.09,5.7e-08,5.1e-09,6.8e-08,6.1e-06,1.3e-05,2.1e-05,2.3e-05,7.4e-09,4.6e-09,3.2e-05,3.1e-06,APO,"Otto Matic",8741,2000-05-04,2024-04-09,148,,,0,.52563,,,,,,,,,
