spkid,full_name,diameter,name,velocity,energy,per,moid,pdes,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per_y,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
20162998,162998 (2001 SK162),0.875,,21.460736094797433,2.4232781614093674e+20,976,0.0284,162998,,Y,Y,0,18.17,,,,,,,,0.161,68,,,,,T,,,0.01,JPL 173,2461000.5,61000,2025-11-21.0,J2000,0.4745,1.926,1.012,1.68,285.29,186.47,329.01,2.84,0.3688,2461084.53,2026-02-13.0,2.67,11,2.31,3.77,2.7e-08,2.3e-09,5.2e-08,2.8e-06,1.3e-04,1.3e-04,7.0e-06,3.3e-09,6.5e-10,1.9e-05,1.7e-06,APO,Otto Matic,11681,1993-10-09,2025-10-02,1257,,,0,.45007,,,,,,,,,
20488789,488789 (2004 XK50),1.039,,24.725156500478164,5.3853585385163784e+20,639,0.042,488789,,Y,Y,0,19.13,,,,,,,,0.038,,,,,,,,,0.08,32,2461000.5,61000,2025-11-21.0,J2000,0.6886,1.451,0.452,38.23,94.05,104.01,314.44,2.45,0.5638,2461081.31,2026-02-09.8,1.75,16.3,3.25,4.19,2.6e-07,4.6e-09,3.8e-07,5.2e-05,1.9e-05,4.3e-05,1.9e-05,7.7e-09,2.7e-09,3.3e-05,3.0e-06,APO,Otto Matic,5123,2004-12-14,2018-12-24,164,,,0,.60648,,,,,,,,,
20138127,138127 (2000 EE14),0.754,,36.610813069541464,4.512556649488582e+20,197,0.0239,138127,,Y,Y,0,17.11,,,,,,,,0.449,2.586,,,,,,,,0.02,161,2461000.5,61000,2025-11-21.0,J2000,0.5331,0.6618,0.309,26.46,155.75,197.85,88.53,1.01,1.831,2460952.14,2025-10-03.6,0.538,9.31,4.41,8.4,4.8e-09,2.1e-10,3.1e-09,1.7e-07,4.1e-07,4.5e-07,2.5e-06,3.3e-10,8.8e-10,1.3e-06,9.5e-08,ATE,Otto Matic,8470,2000-03-04,2023-05-13,1099,,,0,.65161,,,,,,,,,
20139289,139289 (2001 KR1),1.126,,26.533068781957983,7.893689123507253e+20,516,0.179,139289,,Y,N,0,17.80,,,,,,,,0.127,11.3,,,,,,,,0.24,174,2461000.5,61000,2025-11-21.0,J2000,0.8412,1.26,0.200,23.26,102.70,291.49,66.98,2.32,0.6972,2460904.43,2025-08-16.9,1.41,69.5,3.36,4.62,3.1e-08,2.8e-09,3.9e-08,5.7e-06,1.9e-05,1.7e-05,9.4e-06,5.1e-09,2.3e-09,1.3e-05,1.7e-06,APO,Otto Matic,8811,2001-05-18,2025-07-02,864,,,0,.5425,,,,,,,,,
20364762,364762 (2007 XC10),1.047,,23.40719272957187,4.938881299093825e+20,753,0.411,364762,,Y,N,0,19.38,,,,,,,,0.028,,,,,,,,,0.20,29,2461000.5,61000,2025-11-21.0,J2000,0.2259,1.619,1.254,47.94,254.02,112.50,304.40,1.99,0.4783,2461116.76,2026-03-17.2,2.06,160,3.62,3.94,1.8e-07,3.9e-08,3.2e-07,3.6e-05,9.4e-06,8.2e-05,1.5e-04,4.8e-08,1.7e-08,3.3e-04,2.7e-05,AMO,Otto Matic,4229,2007-12-05,2019-07-04,97,,,0,.536,,,,,,,,,
20377732,377732 (2005 XJ8),0.986,,21.432933600814792,3.4584688088560986e+20,980,0.016,377732,,Y,Y,0,17.06,,,,,,,,0.288,42.89,,,,,,,,0.03,178,2461000.5,61000,2025-11-21.0,J2000,0.6205,1.931,0.733,23.56,115.79,67.45,124.43,3.13,0.3672,2460661.62,2024-12-17.1,2.68,6.21,2.28,3.57,1.5e-08,2.5e-09,2.9e-08,5.5e-06,3.9e-06,4.3e-06,2.8e-06,4.1e-09,7.2e-10,7.2e-06,1.9e-06,APO,Otto Matic,7174,2005-12-04,2025-07-26,874,,,0,.47573,,,,,,,,,
20138359,138359 (2000 GX127),1.085,,27.882385870426592,7.79900075385429e+20,445,0.262,138359,,Y,N,0,17.97,,,,,,,,0.095,3.685,,,,,,,,0.03,157,2461000.5,61000,2025-11-21.0,J2000,0.3613,1.141,0.729,20.24,43.98,4.75,148.80,1.55,0.8081,2460816.38,2025-05-20.8,1.22,102,3.85,5.38,2.8e-09,1.6e-09,2.5e-09,1.7e-07,2.8e-07,4.0e-07,5.5e-06,2.2e-09,1.7e-09,6.5e-06,9.3e-07,APO,Otto Matic,8475,2000-04-10,2023-06-24,860,,,0,.54515,,,,,,,,,
20235086,235086 (2003 HW11),1.024,,19.420217819895935,3.1805186364813915e+20,1.32e+03,0.247,235086,,Y,N,0,17.35,,,,,,,,0.168,6.385,,,,,,,,0.32,JPL 161,2461000.5,61000,2025-11-21.0,J2000,0.4658,2.352,1.256,7.40,150.39,154.24,59.38,3.45,0.2733,2460783.23,2025-04-17.7,3.61,96.1,1.85,3.39,2.0e-08,6.0e-09,4.8e-08,3.8e-06,3.2e-05,3.2e-05,6.7e-06,8.8e-09,1.0e-09,2.4e-05,5.1e-06,AMO,Otto Matic,8211,2003-04-03,2025-09-25,739,,,0,.5022,,,,,,,,,
20099248, 99248 (2001 KY66),1.115,,21.80303418422023,5.175452832678923e+20,931,0.0464,99248,,Y,Y,0,16.54,,,,,,,,0.429,19.7,,,,,,,,0.04,346,2461000.5,61000,2025-11-21.0,J2000,0.5077,1.866,0.919,10.61,284.11,61.55,154.35,2.81,0.3865,2460601.19,2024-10-17.6,2.55,18,2.69,3.8,1.9e-08,4.3e-09,3.5e-08,3.4e-06,1.6e-05,1.7e-05,3.4e-06,6.5e-09,1.3e-09,7.9e-06,3.2e-06,APO,Otto Matic,12329,1991-06-08,2025-03-10,3584,,,0,.28892,,,,,,,,,
20445305,445305 (2010 DM56),0.762,,26.061605526863513,2.360245233574829e+20,545,0.00703,445305,,Y,Y,0,19.82,,,,,,,,0.025,,,,,,,,,0.00,66,2461000.5,61000,2025-11-21.0,J2000,0.2926,1.306,0.924,25.60,349.60,48.17,254.76,1.69,0.6601,2461159.93,2026-04-29.4,1.49,2.74,3.87,4.85,7.7e-08,4.2e-09,1.0e-07,1.9e-05,1.9e-05,2.6e-05,1.7e-05,5.4e-09,3.1e-09,2.7e-05,2.6e-06,APO,Otto Matic,5519,2010-02-18,2025-03-30,343,,,0,.45578,,,,,,,,,
